filename	xmlid	au_name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA40742_GautierT	FRA40742	Gautier, Théophile	Avatar    	NA	NA	viaf:96428598	NA	1856	NA	fra	32933	NA	NA	U	short	unspecified	T1
FRA01702_GautierT	FRA01702	Gautier, Théophile	Le roman de la momie    	1800	1872	viaf:96428598	Wikisource     	1857	NA	fr	59638	NA	heterodiegetic     	M	medium	high	T1
FRA40003_GautierT	FRA40003	Gautier, Théophile	Le roman de la momie    	NA	NA	viaf:96428598	NA	1857	NA	fra	55874	NA	NA	U	medium	unspecified	T1
FRA40364_GautierT	FRA40364	Gautier, Théophile		NA	NA	viaf:96428598	NA	1858	NA	fra	40572	NA	NA	U	short	unspecified	T1
FRA40373_Gouraud	FRA40373	Gouraud, Julie		NA	NA	viaf:31987653	NA	1884	NA	fra	49469	NA	NA	U	short	unspecified	T3
FRA40378_Gouraud	FRA40378	Gouraud, Julie		NA	NA	viaf:31987653	NA	1884	NA	fra	29029	NA	NA	U	short	unspecified	T3
FRA40369_Gouraud	FRA40369	Gouraud, Julie		NA	NA	viaf:31987653	NA	1888	NA	fra	42714	NA	NA	U	short	unspecified	T3
FRA02202_Gouraud	FRA02202	Gouraud, Julie [Louise d'Aulnay]	Le petit colporteur	1810	1891	viaf:31987653 wikidata:Q18115130	Bibliothèque électronique du Québec (BEQ)	1867	viaf:314022921 wikidata:missing	fr	43357	NA	heterodiegetic	M	short	low	T2
FRA02203_Gouraud	FRA02203	Gouraud, Julie [Louise d'Aulnay]	Les Filles du professeur	1810	1891	viaf:31987653 wikidata:Q18115130	Bibliothèque électronique du Québec (BEQ)	1876	viaf:unavailable wikidata:missing	fr	45477	NA	heterodiegetic	M	short	low	T2
FRA02201_Gouraud	FRA02201	Gouraud, Julie [Louise d'Aulnay]	Quand je serai grande	1810	1891	viaf:31987653 wikidata:Q18115130	Bibliothèque électronique du Québec (BEQ)	1888	oclc:559725443 viaf:unavailable wikidata:missing	fr	45701	NA	heterodiegetic	M	short	low	T3
FRA02303_Greville	FRA02303	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]	Ariadne	1842	1902	viaf:49258322 wikidata:Q2266038	Bibliothèque électronique du Québec (BEQ)	1878	viaf:missing wikidata:missing	fr	52698	NA	heterodiegetic	F	short	low	T2
FRA02302_Greville	FRA02302	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]	L'amie	1842	1902	viaf:49258322 wikidata:Q2266038	Bibliothèque électronique du Québec (BEQ)	1878	viaf:missing wikidata:missing	fr	56987	NA	heterodiegetic	F	medium	low	T2
FRA02301_Greville	FRA02301	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand]	La seconde mère	1842	1902	viaf:49258322 wikidata:Q2266038	Bibliothèque électronique du Québec (BEQ)	1888	viaf:missing wikidata:missing	fr	60048	NA	heterodiegetic	F	medium	low	T3
FRA02401_LeRouge	FRA02401	Le Rouge, Gustave	L'Esclave amoureuse	1867	1938	viaf:7392910 wikidata:Q2409143	Bibliothèque électronique du Québec (BEQ)	1904	viaf:unavailable wikidata:missing	fr	25038	NA	heterodiegetic	M	short	low	T4
FRA02402_LeRouge	FRA02402	Le Rouge, Gustave	La Conspiration des Milliardaires    	1867	1938	viaf:7392910	NA	1900	viaf:unavailable	fr	76673	NA	NA	M	medium	low	T4
FRA02403_LeRouge	FRA02403	Le Rouge, Gustave	La Guerre des vampires    	1867	1938	viaf:7392910	NA	1909	viaf:8889151656380608400006	fra	73470	NA	NA	M	medium	high	T4
FRA02501_Loti	FRA02501	Loti, Pierre	Mon frère Yves	1850	1923	viaf:89440078 wikidata:Q311854	Bibliothèque électronique du Québec (BEQ)	1883	viaf:294701732 wikidata:missing	fr	73698	NA	homodiegetic	M	medium	high	T3
FRA02502_Loti	FRA02502	Loti, Pierre	Ramuntcho    	1850	1923	viaf:89440078	Ebooks libres et gratuits     	1897	viaf:185706732	fr	57949	NA	heterodiegetic     	M	medium	high	T3
FRA40044_Loti	FRA40044	Loti, Pierre	Figures et choses qui passaient    	NA	NA	viaf:89440078	NA	1898	NA	fra	43154	NA	NA	U	short	unspecified	T3
FRA40045_Loti	FRA40045	Loti, Pierre	Madame Chrysanthème    	NA	NA	viaf:89440078	NA	1887	NA	fra	47590	NA	NA	U	short	unspecified	T3
FRA40050_Loti	FRA40050	Loti, Pierre	Le roman d'un enfant    	NA	NA	viaf:89440078	NA	1890	NA	fra	51159	NA	NA	U	medium	unspecified	T3
FRA40046_Loti	FRA40046	Loti, Pierre	Le mariage de Loti    	NA	NA	viaf:89440078	NA	1882	NA	fra	47819	NA	NA	U	short	unspecified	T3
FRA02601_Malot	FRA02601	Malot, Hector	Romain Kalbris	1830	1907	viaf:49228546 wikidata:Q315003	Bibliothèque électronique du Québec (BEQ)	1869	viaf:312349317 wikidata:Q21426780	fr	70236	NA	autodiegetic	M	medium	high	T2
FRA02602_Malot	FRA02602	Malot, Hector	Sans famille	1830	1907	viaf:49228546 wikidata:Q315003	Bibliothèque électronique du Québec (BEQ)	1878	viaf:186540937 wikidata:Q1570068	fr	123735	NA	autodiegetic	M	long	high	T2
FRA02603_Malot	FRA02603	Malot, Hector	Conscience	1830	1907	viaf:49228546 wikidata:Q315003	Bibliothèque électronique du Québec (BEQ)	1888	viaf:310221173 wikidata:Q21231298	fr	105754	NA	heterodiegetic	M	long	low	T3
FRA40415_Malot	FRA40415	Malot, Hector		NA	NA	viaf:49228546	NA	1888	NA	fra	96683	NA	NA	U	medium	unspecified	T3
FRA40418_Malot	FRA40418	Malot, Hector		NA	NA	viaf:49228546	NA	1891	NA	fra	84089	NA	NA	U	medium	unspecified	T3
FRA40414_Malot	FRA40414	Malot, Hector		NA	NA	viaf:49228546	NA	1893	NA	fra	97825	NA	NA	U	medium	unspecified	T3
FRA02702_Maupassant	FRA02702	Maupassant, Guy de	Une Vie	1850	1893	viaf:29537765 wikidata:Q9327	Ebooks libres et gratuits	1883	viaf:204219240 wikidata:Q51928413	fr	77338	Bildungsroman	heterodiegetic	M	medium	high	T3
FRA02701_Maupassant	FRA02701	Maupassant, Guy de	Bel-Ami	1850	1893	viaf:29537765 wikidata:Q9327	Ebooks libres et gratuits	1885	viaf:174771837 wikidata:Q339761	fr	111187	Bildungsroman	heterodiegetic	M	long	high	T3
FRA40052_Maupassant	FRA40052	Maupassant, Guy de	Bel-Ami    	NA	NA	viaf:29537765	NA	1885	NA	fra	110862	NA	NA	U	long	unspecified	T3
FRA40054_Maupassant	FRA40054	Maupassant, Guy de	Mont-Oriol    	NA	NA	viaf:29537765	NA	1887	NA	fra	82578	NA	NA	U	medium	unspecified	T3
FRA40055_Maupassant	FRA40055	Maupassant, Guy de	Pierre et Jean    	NA	NA	viaf:29537765	NA	1888	NA	fra	49297	NA	NA	U	short	unspecified	T3
FRA02703_Maupassant	FRA02703	Maupassant, Guy de	Fort comme la mort    	1850	1893	viaf:29537765	NA	1889	viaf:191941628	fra	75586	NA	NA	M	medium	high	T3
FRA02802_Mirbeau	FRA02802	Mirbeau, Octave	La Maréchale	1848	1917	viaf:100204602 wikidata:Q23441	Bibliothèque électronique du Québec (BEQ)	1883	viaf:unvailable wikidata:missing	fr	60951	NA	heterodiegetic	M	medium	high	T3
FRA40426_Mirbeau	FRA40426	Mirbeau, Octave		NA	NA	viaf:100204602	NA	1883	NA	fra	56786	NA	NA	U	medium	unspecified	T3
FRA40146_Mirbeau	FRA40146	Mirbeau, Octave	Le Calvaire    	NA	NA	viaf:100204602	NA	1887	NA	fra	76757	NA	NA	U	medium	unspecified	T3
FRA02801_Mirbeau	FRA02801	Mirbeau, Octave	L'abbé Jules    	1848	1917	viaf:100204602	Ebooks libres et gratuits     	1888	viaf:310534644 	fr	78137	NA	homodiegetic     	M	medium	high	T3
FRA40147_Mirbeau	FRA40147	Mirbeau, Octave	Sébastien Roch    	NA	NA	viaf:100204602	NA	1890	NA	fra	92784	NA	NA	U	medium	unspecified	T3
FRA02803_Mirbeau	FRA02803	Mirbeau, Octave	Le Jardin des supplices    	1848	1917	viaf:100204602	NA	1899	viaf:293386073	fra	64881	NA	NA	M	medium	high	T3
FRA03001_Ohnet	FRA03001	Ohnet, Georges	La Grande Marnière	1848	1918	viaf:66497284 wikidata:Q1393388	Project Gutenberg	1885	viaf:missing wikidata:missing	fr	115270	NA	heterodiegetic	M	long	low	T3
FRA03002_Ohnet	FRA03002	Ohnet, Georges	L'Âme de Pierre	1848	1918	viaf:66497284 wikidata:Q1393388	Project Gutenberg	1890	viaf:307993357 wikidata:Q19176918	fr	53382	NA	heterodiegetic	M	medium	low	T3
FRA03003_Ohnet	FRA03003	Ohnet, Georges	Le Marchand de Poison	1848	1918	viaf:66497284 wikidata:Q1393388	Project Gutenberg	1894	viaf:308106335 wikidata:missing	fr	50561	NA	heterodiegetic	M	medium	low	T3
FRA40656_Ohnet	FRA40656	Ohnet, Georges		NA	NA	viaf:66497284	NA	1885	NA	fra	107389	NA	NA	U	long	unspecified	T3
FRA40657_Ohnet	FRA40657	Ohnet, Georges		NA	NA	viaf:66497284	NA	1890	NA	fra	49653	NA	NA	U	short	unspecified	T3
FRA40658_Ohnet	FRA40658	Ohnet, Georges	Les Batailles de la Vie, tome 1: Marchand de Poison    	NA	NA	viaf:66497284	NA	1892	NA	fra	46866	NA	NA	U	short	unspecified	T3
FRA03101_Ponson	FRA03101	Ponson du Terrail, Pierre Alexis	La baronne trépassée	1829	1871	viaf:17228199 wikidata:Q2595750	Computational Literary Genre Stylistics (CLiGS)	1852	viaf:missing wikidata:missing	fr	68667	NA	heterodiegetic	M	medium	high	T1
FRA03102_Ponson	FRA03102	Ponson du Terrail, Pierre Alexis	La résurrection de Rocambole    	1829	1871	viaf:17228199	Ebooks libres et gratuits     	1866	viaf:294264533	fr	173741	NA	heterodiegetic     	M	long	low	T2
FRA03103_Ponson	FRA03103	Ponson du Terrail, Pierre Alexis	La fée d'Auteuil    	1829	1871	viaf:17228199	NA	1868	viaf:missing	fra	64938	NA	NA	M	medium	low	T2
FRA41163_Ponson	FRA41163	Ponson du Terrail, Pierre Alexis	La corde du pendu (Rocambole)    	NA	NA	viaf:17228199	NA	1870	NA	fra	126214	NA	NA	U	long	unspecified	T2
FRA41168_Ponson	FRA41168	Ponson du Terrail, Pierre Alexis	Rocambole en prison    	NA	NA	viaf:17228199	NA	1869	NA	fra	119745	NA	NA	U	long	unspecified	T2
FRA04201_Rolland	FRA04201	Rolland, Romain	L'aube    	1866	1944	viaf:71397100	NA	1904	viaf:312469768	fr	41108	NA	NA	M	short	low	T4
FRA04203_Rolland	FRA04203	Rolland, Romain	La foire sur la place    	1866	1944	viaf:71397100	NA	1908	viaf:312469772	fra	69465	NA	NA	M	medium	low	T4
FRA04202_Rolland	FRA04202	Rolland, Romain	Jean-Christophe	1866	1944	viaf:71397100 wikidata:Q47162	CLiGS	1912	viaf:219192997 wikidata:Q2476841	fr	587440	NA	heterodiegetic	M	long	high	T4
FRA40455_Sand	FRA40455	Sand, George		NA	NA	viaf:46766944	NA	1871	NA	fra	38791	NA	NA	U	short	unspecified	T2
FRA40445_Sand	FRA40445	Sand, George		NA	NA	viaf:46766944	NA	1872	NA	fra	94058	NA	NA	U	medium	unspecified	T2
FRA40447_Sand	FRA40447	Sand, George		NA	NA	viaf:46766944	NA	1875	NA	fra	22729	NA	NA	U	short	unspecified	T2
FRA03704_Sand	FRA03704	Sand, George [Amantine Lucile Aurore Dupin]	Horace	1804	1876	viaf:46766944 wikidata:Q3816	Computational Literary Genre Stylistics (CLiGS)	1840	viaf:309259313 wikidata:Q40125295	fr	133214	NA	homodiegetic	F	long	high	T1
FRA03702_Sand	FRA03702	Sand, George [Amantine Lucile Aurore Dupin]	Le dernier amour	1804	1876	viaf:46766944 wikidata:Q3816	Bibliothèque électronique du Québec (BEQ)	1867	viaf:1327145424598486831029 wikidata:Q19194266	fr	88169	NA	autodiegetic	F	medium	high	T2
FRA03701_Sand	FRA03701	Sand, George [Amantine Lucile Aurore Dupin]	Nanon	1804	1876	viaf:46766944 wikidata:Q3816	Bibliothèque électronique du Québec (BEQ)	1872	viaf:204615801 wikidata:missing	fr	101919	NA	autodiegetic	F	long	high	T2
FRA03903_Stolz	FRA03903	Stolz, Madame de [Fanny de Bégon]	Le Secret de Laurent	1820	1898	viaf:19850120 wikidata:Q3275360	Bibliothèque électronique du Québec (BEQ)	1878	viaf:unavailable wikidata:missing	fr	49150	NA	heterodiegetic	F	short	low	T2
FRA03901_Stolz	FRA03901	Stolz, Madame de [Fanny de Bégon]	La Maison roulante    	1820	1898	viaf:19850120 wikidata:Q3275360	Bibliothèque électronique du Québec (BEQ)     	1869	viaf:309282062	fr	52092	NA	heterodiegetic     	F	medium	low	T2
FRA40476_Stolz	FRA40476	Stolz, Madame de [Fanny de Bégon]	La Maison roulante    	1820	1898	viaf:79158042	NA	1869	NA	fra	48410	NA	NA	U	short	unspecified	T2
FRA03902_Stolz	FRA03902	Stolz, Madame de [Fanny de Bégon]	La Maison blanche    	1820	1898	viaf:19850120 wikidata:Q3275360	NA	1884	viaf:unavailable	fr	52128	NA	NA	F	medium	low	T3
FRA04001_Verne	FRA04001	Verne, Jules	Un capitaine de quinze ans	1828	1905	viaf:76323989 wikidata:Q33977	Bibliothèque électronique du Québec (BEQ)	1878	viaf:183081330 wikidata:Q59784918	fr	125179	adventure	heterodiegetic	M	long	high	T2
FRA04002_Verne	FRA04002	Verne, Jules	Le Secret de Wilhelm Storitz	1828	1905	viaf:76323989 wikidata:Q33977	Bibliothèque électronique du Québec (BEQ)	1898	viaf:183647198 wikidata:Q78655137	fr	55614	NA	autodiegetic	M	medium	high	T3
FRA40091_Verne	FRA40091	Verne, Jules	Le château des Carpathes    	NA	NA	viaf:76323989	NA	1892	NA	fra	52589	NA	NA	U	medium	unspecified	T3
FRA40015_Verne	FRA40015	Verne, Jules	Le sphinx des glaces    	NA	NA	viaf:76323989	NA	1897	NA	fra	119998	NA	NA	U	long	unspecified	T3
FRA40175_Verne	FRA40175	Verne, Jules	Le Secret de Wilhelm Storitz    	NA	NA	viaf:76323989	NA	1898	NA	fra	53008	NA	NA	U	medium	unspecified	T3
FRA40176_Verne	FRA40176	Verne, Jules	Le Testament d'un excentrique    	NA	NA	viaf:76323989	NA	1899	NA	fra	132703	NA	NA	U	long	unspecified	T3
